,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
21265,42420,5/11/2022,43,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21266,42420,5/12/2022,18,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21267,42420,5/13/2022,8,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21268,42420,5/14/2022,12,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21269,42420,5/15/2022,5,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21270,42420,5/16/2022,8,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21271,42420,5/17/2022,7,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21272,42420,5/18/2022,7,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21273,42420,5/19/2022,18,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21274,42420,5/20/2022,8,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21275,42420,5/21/2022,3,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21276,42420,5/22/2022,4,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21277,42420,5/23/2022,14,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21278,42420,5/24/2022,16,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21279,42420,5/25/2022,10,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21280,42420,5/26/2022,9,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21281,42420,5/27/2022,13,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21282,42420,5/28/2022,13,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21283,42420,5/29/2022,9,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21284,42420,5/30/2022,6,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
21285,42420,5/31/2022,5,Good,PM2.5,1,Scottsbluff,NE,Nebraska,41.8684,-103.6616,14660,853,America/Denver
24650,47260,5/5/2022,8,Good,PM10,1,Virginia Beach,VA,Virginia,36.7335,-76.0435,1475522,711,America/New_York
25136,47900,5/5/2022,6,Good,PM10,2,Washington,DC,District of Columbia,38.9047,-77.0163,5066973,4434,America/New_York
